"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","url","categoryName"
"Lucento Aesthetics","5","14",,,,,"https://www.lucentoaesthetics.com/","+381 62 308498","Plastic surgery clinic","Cosmetic dentist","Dental clinic","Service establishment",,,,,"https://www.google.com/maps/search/?api=1&query=Lucento%20Aesthetics&query_place_id=ChIJgxCm3K713QkRsNTK4-j2Ru0","Plastic surgery clinic"
"TREDENT stomatološka ordinacija","5","88","Vitanovačka 1","Belgrade",,"RS","http://www.tredent.rs/","+381 65 8456397","Dental clinic","Dentist",,,,,,,"https://www.google.com/maps/search/?api=1&query=TREDENT%20stomatolo%C5%A1ka%20ordinacija&query_place_id=ChIJO0HUbQBxWkcRmSzdtTXU8kU","Dental clinic"
"Stomatološka ordinacija TIM DENT Zivanovic-Voždovac","4.3","44","Bulevar Oslobođenja 307","Belgrade",,"RS","http://www.timdent.rs/","+381 11 3096525","Dental clinic","Cosmetic dentist","Dental hygienist","Dental implants periodontist","Dentist","Denture care center","Emergency dental service","Pediatric dentist","https://www.google.com/maps/search/?api=1&query=Stomatolo%C5%A1ka%20ordinacija%20TIM%20DENT%20Zivanovic-Vo%C5%BEdovac&query_place_id=ChIJqZPg0-1xWkcRuzmdxPnrfG8","Dental clinic"
"Dental Centar Aleksandra","5","20","Pukovnika Petra Mišića 4","Belgrade",,"RS","https://dentalcentaraleksandra.rs/","+381 65 5555179","Dental clinic","Dentist",,,,,,,"https://www.google.com/maps/search/?api=1&query=Dental%20Centar%20Aleksandra&query_place_id=ChIJE9qnKABxWkcR-ZYJ9p8ndnY","Dental clinic"
"Viva dental & aesthetic medicine","4.7","27","Marka Oreškovića 34","Belgrade",,"RS","https://dr-katarina-antiaging.rs/","+381 64 2357859","Dentist",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Viva%20dental%20%26%20aesthetic%20medicine&query_place_id=ChIJFS5st8J7WkcRJbGPfO2uZrE","Dentist"
"Bloom Dental & Aesthetic","4.7","64","Gružanska 10","Belgrade",,"RS","http://www.bloomdental.co.rs/","+381 62 622866","Dentist","Cosmetic dentist","Dental clinic",,,,,,"https://www.google.com/maps/search/?api=1&query=Bloom%20Dental%20%26%20Aesthetic&query_place_id=ChIJkVdu5BFxWkcRyO_xbQYFdh0","Dentist"
"Dr Happy Clinic- Stomatološka i estetska klinika","4.7","31","Dimitrija Tucovića 117","Belgrade",,"RS","http://drhappy.rs/index.php","+381 11 4020444","Cosmetic dentist",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dr%20Happy%20Clinic-%20Stomatolo%C5%A1ka%20i%20estetska%20klinika&query_place_id=ChIJJdZ_htx7WkcRzQaqYbbn2_w","Cosmetic dentist"
"Dr Bea Esthétique","4.9","66","Džordža Vašingtona 46","Belgrade",,"RS","https://drbea.rs/","+381 66 061611","Medical office","Dentist",,,,,,,"https://www.google.com/maps/search/?api=1&query=Dr%20Bea%20Esth%C3%A9tique&query_place_id=ChIJbf8ZD0N7WkcRWgfWjHCgL0c","Medical office"
"ESTERA - Aesthetic Medicine & Dentistry","4.9","124","Bokeljska 7","Belgrade",,"RS","https://estera.rs/","+381 66 378372","Medical office","Cosmetic dentist","Dentist","Laser hair removal service",,,,,"https://www.google.com/maps/search/?api=1&query=ESTERA%20-%20Aesthetic%20Medicine%20%26%20Dentistry&query_place_id=ChIJuXGUC3pwWkcRIWgBMH5qs6I","Medical office"
"Smile Esthetics","4.9","254","Dragoslava Jovanovića 13","Belgrade",,"RS","https://smileesthetics.rs/","+381 60 0557701","Dentist",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Smile%20Esthetics&query_place_id=ChIJNS-Wpa96WkcR2gj1tLe6NqM","Dentist"
