"ID","Modul","Tip","Ruta ili fajl","Akcija/kontrola","Očekivani rezultat","Izvor implementacije","Preduslovi","Status","Prioritet","Dokaz","Napomena","Preporučeni test"
"PAGE-001","Nalog i autentikacija","PAGE_ROUTE","/nalog/adrese","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(account)/nalog/adrese/page.tsx","Korisnička sesija za privatne delove","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-002","Nalog i autentikacija","PAGE_ROUTE","/nalog/email/potvrdi","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(account)/nalog/email/potvrdi/page.tsx","Korisnička sesija za privatne delove","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-003","Nalog i autentikacija","PAGE_ROUTE","/nalog/lista-zelja","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(account)/nalog/lista-zelja/page.tsx","Korisnička sesija za privatne delove","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-004","Nalog i autentikacija","PAGE_ROUTE","/nalog/lozinka/nova","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(account)/nalog/lozinka/nova/page.tsx","Korisnička sesija za privatne delove","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-005","Nalog i autentikacija","PAGE_ROUTE","/nalog/lozinka/zaboravljena","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(account)/nalog/lozinka/zaboravljena/page.tsx","Korisnička sesija za privatne delove","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-006","Nalog i autentikacija","PAGE_ROUTE","/nalog","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(account)/nalog/page.tsx","Nema","PASS","P2","Anonimni redirect za zaštićeni nalog + browser login forma; build/unit","Direktan ili route-protection dokaz postoji; pojedinačne mutacije nisu obuhvaćene ovim redom.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-007","Nalog i autentikacija","PAGE_ROUTE","/nalog/podesavanja","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(account)/nalog/podesavanja/page.tsx","Korisnička sesija za privatne delove","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-008","Nalog i autentikacija","PAGE_ROUTE","/nalog/porudzbine/[id]","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(account)/nalog/porudzbine/[id]/page.tsx","Korisnička sesija za privatne delove","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-009","Nalog i autentikacija","PAGE_ROUTE","/nalog/porudzbine","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(account)/nalog/porudzbine/page.tsx","Korisnička sesija za privatne delove","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-010","Nalog i autentikacija","PAGE_ROUTE","/nalog/prijava","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(account)/nalog/prijava/page.tsx","Korisnička sesija za privatne delove","PASS","P2","Anonimni redirect za zaštićeni nalog + browser login forma; build/unit","Direktan ili route-protection dokaz postoji; pojedinačne mutacije nisu obuhvaćene ovim redom.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-011","Nalog i autentikacija","PAGE_ROUTE","/nalog/registracija","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(account)/nalog/registracija/page.tsx","Korisnička sesija za privatne delove","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-012","Nalog i autentikacija","PAGE_ROUTE","/nalog/reklamacije","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(account)/nalog/reklamacije/page.tsx","Korisnička sesija za privatne delove","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-013","Checkout i korpa","PAGE_ROUTE","/checkout","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(checkout)/checkout/page.tsx","Nema","PASS","P1","Produkcioni desktop/mobile browser do završnog pregleda bez submit-a; screenshot; build","Direktan ili route-protection dokaz postoji; pojedinačne mutacije nisu obuhvaćene ovim redom.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-014","Checkout i korpa","PAGE_ROUTE","/checkout/podaci","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(checkout)/checkout/podaci/page.tsx","Nema","PASS","P1","Produkcioni desktop/mobile browser do završnog pregleda bez submit-a; screenshot; build","Direktan ili route-protection dokaz postoji; pojedinačne mutacije nisu obuhvaćene ovim redom.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-015","Checkout i korpa","PAGE_ROUTE","/checkout/potvrda","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(checkout)/checkout/potvrda/page.tsx","Nema","PASS","P1","Produkcioni desktop/mobile browser do završnog pregleda bez submit-a; screenshot; build","Direktan ili route-protection dokaz postoji; pojedinačne mutacije nisu obuhvaćene ovim redom.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
