start	end	text
0	8000	šta je ovde šta, znači dobro ok, unosim ko artikali tipa iz dve boje, unosim boju 1, boje 2 i sa čom boje, to mi jasno
8000	9000	da
9000	13000	a šta je onda po vezi posled, a šta je napravio novi draft SSKU
13000	26000	pa to su dve opcije koje sam ubacio, ali ajde moga jer rati me pretkodno kako je bilo, nije mi problem, ako ti je lakše bilo
26000	32000	A ne, znam kako sam predskudno radio, nego ako je ovo bolje...
32000	40000	Jer ako recimo postojići artike, ne znam, ti si ubacio danas lupan crnu džezvu i za 3 dana bacaš belu džezvu.
40000	41000	Dobro.
41000	46000	I tu ubacaciješ recimo postojići artike, ali te nove džezove i toči porodicu, kako je reš?
46000	47000	Dobro.
47000	51000	Pa konta možda će ti tako biti lakše da...
51000	59000	ovde kad unosim tu drugu džezvu, onda samo poveži postojeći artikalu, unesem onu prvu džezvu i on će automatski da poveži
59000	63000	a šta je ovo napravi novi draft SKU?
63000	68000	pa sistem napravi neaktivan artikal koji kasnije dokuniš
68000	70000	aha
70000	74000	ja ratit ću, nije problem, ratit ću ono staro
76000	79000	mislim kako god očeš, me nije ono sve jedno
79000	84000	Čekaj da pitam, Jovana, ćeš da vrati Luka na ono staro ili da ostaje ovako sa im bojima?
84000	85000	Ne znaš da ste slušava.
87000	88000	OČeš na staro onda?
90000	91000	Može na staro.
91000	117460	Vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde, vajde
